,Image,Angry,Disgust,Fear,Happy,Neutral,Sad,Surprise
0,8729,False,False,False,False,True,False,False
1,761,False,False,False,False,False,False,False
2,4907,False,False,False,True,False,False,False
3,6686,False,False,False,False,False,False,False
4,3984,False,False,False,True,False,False,False
5,9386,False,False,False,False,False,False,False
6,6086,False,False,False,False,False,False,False
7,1885,False,False,False,False,True,False,False
8,5379,False,False,False,False,False,False,False
9,1121,False,False,False,False,False,False,False
10,5165,False,False,False,True,False,False,False
11,8470,False,False,False,False,False,False,False
12,33,False,False,False,False,False,False,False
13,1883,False,False,False,False,False,False,False
14,8652,False,False,False,False,False,False,False
15,8584,False,False,False,False,False,False,False
16,8065,True,False,False,False,False,False,False
17,5559,False,False,False,False,False,False,True
18,7365,False,False,False,False,False,False,False
19,5727,False,False,False,False,True,False,False
20,4341,False,False,False,False,False,False,False
21,8301,False,False,False,False,False,False,False
22,9875,False,False,False,False,False,False,False
23,5689,False,False,False,False,False,False,False
24,3053,False,False,False,True,False,False,False
25,4710,False,False,False,False,False,False,False
26,10529,False,False,True,False,False,False,False
27,7370,False,False,False,False,False,False,False
28,7338,False,False,False,False,False,False,False
29,3482,False,False,False,True,False,False,False
30,7260,False,False,False,True,False,False,False
31,2183,False,False,False,True,False,True,False
32,9396,False,False,False,False,False,False,False
33,5764,False,False,False,False,False,False,False
34,7336,False,False,False,False,False,False,False
35,3244,False,False,False,True,False,False,False
36,6508,False,False,False,False,False,False,False
37,3038,False,False,False,False,False,False,False
38,408,False,False,False,True,False,False,False
39,5610,False,False,False,False,False,False,False
40,1783,False,False,False,False,False,False,False
41,2312,False,False,False,False,False,False,False
42,582,False,False,False,False,False,False,False
43,398,False,False,False,False,False,False,False
44,2315,False,False,False,False,False,False,False
45,3955,False,False,False,False,False,False,True
46,2935,False,False,False,False,False,False,False
47,5094,False,False,False,True,False,False,False
48,101,False,False,False,False,False,False,False
49,8251,False,False,False,False,False,False,False
50,1669,False,False,False,False,False,False,False
51,5146,False,False,False,True,False,False,False
52,9791,False,False,False,False,False,False,False
53,10604,False,False,False,False,False,False,False
54,9475,False,False,False,False,False,False,False
